year mon unem ip   pmi tcu
1980 4 6.9 50.6891 37.4 81.9
1980 5 7.5 49.4292 29.4 79.7
1980 6 7.6 48.8248 30.3 78.5
1980 7 7.8 48.4916 35 77.8
1980 8 7.7 48.6382 45.5 77.9
1980 9 7.5 49.4248 50.1 79
1980 10 7.5 50.0471 55.5 79.8
1980 11 7.5 50.9164 58.2 81
1980 12 7.2 51.2129 53 81.3
1981 1 7.5 50.9245 49.2 80.6
1981 2 7.4 50.6868 48.8 80.1
1981 3 7.4 50.952 49.6 80.3
1981 4 7.2 50.7365 51.6 79.7
1981 5 7.5 51.0459 53.5 80
1981 6 7.5 51.2824 50.7 80.2
1981 7 7.2 51.5993 46.7 80.5
1981 8 7.4 51.6053 48.3 80.3
1981 9 7.6 51.2813 42.5 79.6
1981 10 7.9 50.9184 40 78.8
1981 11 8.3 50.3612 36.1 77.8
1981 12 8.5 49.8013 37.8 76.7
1982 1 8.6 48.8162 38.2 75
1982 2 8.9 49.7716 38.3 76.4
1982 3 9 49.4063 36.8 75.6
1982 4 9.3 48.9813 37.8 74.8
1982 5 9.4 48.6756 35.5 74.2
1982 6 9.6 48.5142 38.3 73.9
1982 7 9.8 48.3535 38.4 73.5
1982 8 9.8 47.9622 38.3 72.8
1982 9 10.1 47.7904 38.8 72.5
1982 10 10.4 47.3848 39.4 71.8
1982 11 10.8 47.2048 39.2 71.5
1982 12 10.8 46.8538 42.8 70.9
1983 1 10.4 47.7547 46 72.2
1983 2 10.4 47.4638 54.4 71.7
1983 3 10.3 47.8625 53.9 72.3
1983 4 10.2 48.4322 54.2 73.2
1983 5 10.1 48.776 56.1 73.7
1983 6 10.1 49.0398 57.5 74
1983 7 9.4 49.7891 63.6 75.1
1983 8 9.5 50.3334 63.1 75.9
1983 9 9.2 51.09 62.5 77
1983 10 8.8 51.5094 64.4 77.6
1983 11 8.5 51.6723 66 77.8
1983 12 8.3 51.9276 69.9 78.1
1984 1 8 52.9855 60.5 79.6
1984 2 7.8 53.2472 61.3 79.9
1984 3 7.8 53.4899 58.9 80.2
1984 4 7.7 53.8194 61 80.5
1984 5 7.4 54.0873 58.6 80.8
1984 6 7.2 54.2774 58.1 80.9
1984 7 7.5 54.4653 56.1 81
1984 8 7.5 54.4958 53 80.9
1984 9 7.3 54.4133 50 80.6
1984 10 7.4 54.3398 50.8 80.3
1984 11 7.2 54.5448 50.3 80.4
1984 12 7.3 54.6039 50.6 80.3
1985 1 7.3 54.4731 50.3 79.9
1985 2 7.2 54.7053 49.9 80
1985 3 7.2 54.7653 47.8 79.9
1985 4 7.3 54.6532 48.2 79.5
1985 5 7.2 54.7041 47.1 79.4
1985 6 7.4 54.7428 47.8 79.3
1985 7 7.4 54.3679 47.9 78.6
1985 8 7.1 54.5982 47.7 78.7
1985 9 7.1 54.8353 49.9 78.9
1985 10 7.1 54.6154 50.9 78.5
1985 11 7 54.8013 52 78.6
1985 12 7 55.3694 50.7 79.3
1986 1 6.7 55.6384 51.2 79.6
1986 2 7.2 55.2301 51 78.9
1986 3 7.2 54.8869 51 78.4
1986 4 7.1 54.922 49.7 78.4
1986 5 7.2 55.0222 53.4 78.4
1986 6 7.2 54.845 50.5 78.1
1986 7 7 55.1881 48 78.5
1986 8 6.9 55.0737 52.6 78.3
1986 9 7 55.1761 52.4 78.3
1986 10 7 55.4285 51.2 78.6
1986 11 6.9 55.6897 51.2 78.9
1986 12 6.6 56.1765 50.5 79.4
1987 1 6.6 55.9899 54.9 79
1987 2 6.6 56.7106 52.6 79.9
1987 3 6.6 56.804 55 79.9
1987 4 6.3 57.1561 55.5 80.2
1987 5 6.3 57.5384 57.2 80.6
1987 6 6.2 57.8381 57.4 80.8
1987 7 6.1 58.1952 57.5 81.2
1987 8 6 58.6234 59.3 81.6
1987 9 5.9 58.789 60 81.7
1987 10 6 59.6711 60.7 82.8
1987 11 5.8 59.9881 58.8 83.1
1987 12 5.7 60.265 61 83.4
1988 1 5.7 60.2976 57.5 83.4
1988 2 5.7 60.5406 56.2 83.6
1988 3 5.7 60.6879 54.6 83.8
1988 4 5.4 61.0017 55.8 84.2
1988 5 5.6 60.9577 55.5 84.1
1988 6 5.4 61.1043 59.3 84.3
1988 7 5.4 61.1806 58.2 84.4
1988 8 5.6 61.4564 56 84.7
1988 9 5.4 61.2286 54.5 84.3
1988 10 5.4 61.5528 55.4 84.7
1988 11 5.3 61.6617 55.6 84.8
1988 12 5.3 61.9242 56 85.1
1989 1 5.4 62.1 54.7 85.2
1989 2 5.2 61.8299 54.1 84.7
1989 3 5 62.0048 51.5 84.8
1989 4 5.2 62.0213 52.2 84.7
1989 5 5.2 61.6105 49.3 84
1989 6 5.3 61.6518 47.3 83.9
1989 7 5.2 61.0576 45.9 82.9
1989 8 5.2 61.5919 45.1 83.4
1989 9 5.3 61.4228 46 83
1989 10 5.3 61.361 46.8 82.8
1989 11 5.4 61.539 46.8 82.8
1989 12 5.4 61.9024 47.4 83.1
1990 1 5.4 61.5534 47.2 82.5
1990 2 5.3 62.1122 49.1 83
1990 3 5.2 62.4351 49.9 83.3
1990 4 5.4 62.3542 50 83
1990 5 5.4 62.4748 49.5 83
1990 6 5.2 62.6733 49.2 83.1
1990 7 5.5 62.6147 46.6 82.9
1990 8 5.7 62.7649 46.1 82.9
1990 9 5.9 62.8974 44.5 83
1990 10 5.9 62.4105 43.2 82.2
1990 11 6.2 61.6631 41.3 81.1
1990 12 6.3 61.2273 40.8 80.4
1991 1 6.4 60.9634 39.2 79.9
1991 2 6.6 60.5672 39.4 79.3
1991 3 6.8 60.2532 40.7 78.8
1991 4 6.7 60.3484 42.8 78.8
1991 5 6.9 60.9695 44.5 79.5
1991 6 6.9 61.5723 50.3 80.2
1991 7 6.8 61.553 50.6 80.1
1991 8 6.9 61.6333 52.9 80.1
1991 9 6.9 62.1757 54.9 80.7
1991 10 7 62.0364 53.1 80.5
1991 11 7 61.9567 49.5 80.3
1991 12 7.3 61.7426 46.8 79.9
1992 1 7.3 61.3536 47.3 79.3
1992 2 7.4 61.826 52.7 79.8
1992 3 7.4 62.3277 54.6 80.3
1992 4 7.4 62.7799 52.6 80.7
1992 5 7.6 63.0001 55.7 80.8
1992 6 7.8 63.0058 53.6 80.7
1992 7 7.7 63.5448 53.9 81.2
1992 8 7.6 63.2376 53.4 80.6
1992 9 7.6 63.3679 49.7 80.6
1992 10 7.3 63.8433 50.3 81
1992 11 7.4 64.0962 53.6 81.2
1992 12 7.4 64.1093 54.2 81
1993 1 7.3 64.4234 55.8 81.3
1993 2 7.1 64.6576 55.2 81.4
1993 3 7 64.6362 53.5 81.3
1993 4 7.1 64.8425 50.2 81.4
1993 5 7.1 64.6133 51.2 81
1993 6 7 64.7686 49.6 81.1
1993 7 6.9 64.9695 50.2 81.2
1993 8 6.8 64.9561 50.7 81.1
1993 9 6.7 65.2683 50.8 81.4
1993 10 6.8 65.7433 53.4 81.8
1993 11 6.6 66.007 53.8 82
1993 12 6.5 66.3443 55.6 82.3
1994 1 6.6 66.6148 56 82.5
1994 2 6.6 66.6423 56.5 82.3
1994 3 6.5 67.3365 56.9 83
1994 4 6.4 67.6783 57.4 83.2
1994 5 6.1 68.0514 58.2 83.4
1994 6 6.1 68.5111 58.8 83.7
1994 7 6.1 68.6287 58.5 83.6
1994 8 6 69.0084 58 83.8
1994 9 5.9 69.1779 59 83.8
1994 10 5.8 69.7608 59.4 84.2
1994 11 5.6 70.1909 59.2 84.4
1994 12 5.5 70.9527 56.1 85
1995 1 5.6 71.1395 57.4 85
1995 2 5.4 71.12 55.1 84.6
1995 3 5.4 71.2375 52.1 84.5
1995 4 5.8 71.1802 51.5 84.1
1995 5 5.6 71.3506 46.7 84
1995 6 5.6 71.5971 45.9 84
1995 7 5.7 71.3228 50.7 83.4
1995 8 5.7 72.2719 47.1 84.1
1995 9 5.6 72.5495 48.1 84.1
1995 10 5.5 72.417 46.7 83.6
1995 11 5.6 72.5863 45.9 83.5
1995 12 5.6 72.8397 46.2 83.4
1996 1 5.6 72.3583 45.5 82.5
1996 2 5.5 73.5009 45.9 83.5
1996 3 5.5 73.402 46.9 83
1996 4 5.6 74.0571 49.3 83.4
1996 5 5.6 74.575 49.1 83.6
1996 6 5.3 75.2617 53.6 84
1996 7 5.5 75.1819 49.7 83.5
1996 8 5.1 75.6653 51.6 83.6
1996 9 5.2 76.0611 51.1 83.7
1996 10 5.2 76.0523 50.5 83.3
1996 11 5.4 76.6693 53 83.6
1996 12 5.4 77.1534 55.2 83.7
1997 1 5.3 77.2352 53.8 83.4
1997 2 5.2 78.1589 53.1 83.9
1997 3 5.2 78.7709 53.8 84.2
1997 4 5.1 78.7963 53.7 83.8
1997 5 4.9 79.3434 56.1 83.9
1997 6 5 79.7184 54.9 83.8
1997 7 4.9 80.1964 57.7 83.9
1997 8 4.8 81.274 56.3 84.5
1997 9 4.9 81.9885 53.9 84.7
1997 10 4.7 82.5336 56.4 84.7
1997 11 4.6 83.2629 55.7 84.9
1997 12 4.7 83.57 54.5 84.7
1998 1 4.6 83.975 53.8 84.5
1998 2 4.6 84.0245 52.9 84
1998 3 4.7 84.0895 52.9 83.5
1998 4 4.3 84.3978 52.2 83.3
1998 5 4.4 84.9846 50.9 83.3
1998 6 4.5 84.512 48.9 82.4
1998 7 4.5 84.1351 49.2 81.5
1998 8 4.5 85.9416 49.3 82.8
1998 9 4.6 85.6633 48.7 82.1
1998 10 4.5 86.3256 48.7 82.4
1998 11 4.4 86.2564 48.2 81.9
1998 12 4.4 86.5583 46.8 81.8
1999 1 4.3 86.9392 50.6 81.8
1999 2 4.4 87.3052 51.7 81.8
1999 3 4.2 87.4957 52.4 81.6
1999 4 4.3 87.6981 52.3 81.5
1999 5 4.2 88.3532 54.3 81.8
1999 6 4.3 88.2127 55.8 81.4
1999 7 4.3 88.7903 53.6 81.6
1999 8 4.2 89.1769 54.8 81.7
1999 9 4.2 88.9229 57 81.1
1999 10 4.1 90.0556 57.2 81.9
1999 11 4.1 90.4979 58.1 82
1999 12 4 91.2144 57.8 82.3
2000 1 4 91.3003 56.7 82.1
2000 2 4.1 91.6338 55.8 82.1
2000 3 4 92.001 54.9 82.2
2000 4 3.8 92.5724 54.7 82.4
2000 5 4 92.7012 53.2 82.2
2000 6 4 92.7786 51.4 82
2000 7 4 92.5586 52.5 81.6
2000 8 4.1 92.3195 49.9 81.1
2000 9 3.9 92.7587 49.7 81.2
2000 10 3.9 92.3431 48.7 80.6
2000 11 3.9 92.3405 48.5 80.4
2000 12 3.9 92.046 43.9 79.9
2001 1 4.2 91.3911 42.3 79.1
2001 2 4.2 90.8202 42.1 78.4
2001 3 4.3 90.5558 43.1 77.9
2001 4 4.4 90.3198 42.7 77.5
2001 5 4.3 89.6483 41.3 76.8
2001 6 4.5 89.0779 43.2 76.1
2001 7 4.6 88.674 43.5 75.6
2001 8 4.9 88.449 46.3 75.2
2001 9 5 88.1514 46.2 74.8
2001 10 5.3 87.7031 40.8 74.2
2001 11 5.5 87.2363 44.1 73.7
2001 12 5.7 87.2539 45.3 73.6
2002 1 5.7 87.7665 47.5 73.9
2002 2 5.7 87.7367 50.7 73.8
2002 3 5.7 88.4206 52.4 74.2
2002 4 5.9 88.7642 52.4 74.5
2002 5 5.8 89.267 53.1 74.8
2002 6 5.8 90.1089 53.6 75.5
2002 7 5.8 89.7996 50.2 75.2
2002 8 5.7 89.9376 50.3 75.3
2002 9 5.7 89.9938 50.5 75.4
2002 10 5.7 89.6757 49 75.1
2002 11 5.9 90.1424 48.5 75.5
2002 12 6 89.662 51.6 75.2
2003 1 5.8 90.3606 51.3 75.8
2003 2 5.9 90.6969 48.8 76.1
2003 3 5.9 90.54 46.3 76
2003 4 6 89.7862 46.1 75.4
2003 5 6.1 89.7988 49 75.5
2003 6 6.3 89.8305 49 75.5
2003 7 6.2 90.1022 51 75.8
2003 8 6.1 90.0256 53.2 75.7
2003 9 6.1 90.552 52.4 76.2
2003 10 6 90.4909 55.2 76.2
2003 11 5.8 91.1972 58.4 76.8
2003 12 5.7 91.1677 60.1 76.8
2004 1 5.7 91.4129 60.8 77
2004 2 5.6 91.9478 59.9 77.4
2004 3 5.8 91.4088 60.6 77
2004 4 5.6 91.8053 60.6 77.3
2004 5 5.6 92.4737 61.4 77.9
2004 6 5.6 91.6612 60.5 77.2
2004 7 5.5 92.333 59.9 77.8
2004 8 5.4 92.58 58.5 78
2004 9 5.4 92.5496 57.4 78
2004 10 5.5 93.4621 56.3 78.7
2004 11 5.4 93.6507 56.2 78.9
2004 12 5.4 94.2834 57.2 79.4
2005 1 5.3 94.7802 56.8 79.7
2005 2 5.4 95.3804 55.5 80.2
2005 3 5.2 95.3013 55.2 80.1
2005 4 5.2 95.3483 52.2 80
2005 5 5.1 95.5193 50.8 80.1
2005 6 5 95.8865 52.4 80.3
2005 7 5 95.7483 52.8 80.1
2005 8 4.9 95.8894 52.4 80.1
2005 9 5 93.9872 56.8 78.4
2005 10 5 95.163 57.2 79.3
2005 11 5 96.0617 56.7 79.9
2005 12 4.9 96.6672 55.1 80.3
2006 1 4.7 96.7924 55 80.3
2006 2 4.8 96.8809 55.8 80.3
2006 3 4.7 97.0768 54.3 80.4
2006 4 4.7 97.5199 55.2 80.6
2006 5 4.6 97.3547 53.7 80.4
2006 6 4.6 97.7055 52 80.5
2006 7 4.7 97.8175 53 80.5
2006 8 4.7 98.0079 53.7 80.5
2006 9 4.5 97.8451 52.2 80.2
2006 10 4.4 97.7651 51.4 79.9
2006 11 4.5 97.6484 50.3 79.7
2006 12 4.4 98.6644 51.4 80.3
2007 1 4.6 98.2311 49.5 79.8
2007 2 4.5 99.3974 51.9 80.5
2007 3 4.4 99.3941 50.7 80.3
2007 4 4.5 100.1649 52.6 80.8
2007 5 4.4 100.1037 52.5 80.6
2007 6 4.6 100.097 52.6 80.4
2007 7 4.7 100.1781 52.4 80.4
2007 8 4.6 100.2117 50.9 80.3
2007 9 4.7 100.7018 51 80.6
2007 10 4.7 100.1437 51.1 80.1
2007 11 4.7 100.6346 50.5 80.5
2007 12 5 100.742 49 80.6
2008 1 5 100.437 50.3 80.4
2008 2 4.9 100.2821 47.6 80.3
2008 3 5.1 99.9291 48.3 80.1
2008 4 5 99.1459 48.8 79.5
2008 5 5.4 98.6404 48.8 79.1
2008 6 5.6 98.3635 49.8 78.9
2008 7 5.8 97.897 50 78.6
2008 8 6.1 96.2339 49.2 77.2
2008 9 6.1 92.264 44.8 74
2008 10 6.5 93.0181 38.9 74.6
2008 11 6.8 91.8795 36.5 73.6
2008 12 7.3 89.3744 33.1 71.6
2009 1 7.8 87.3778 34.9 69.9
2009 2 8.3 86.8767 35.6 69.5
2009 3 8.7 85.4401 36 68.3
2009 4 9 84.7067 39.8 67.7
2009 5 9.4 83.8149 42 67.1
2009 6 9.5 83.4577 45.8 66.8
2009 7 9.5 84.2633 49.2 67.5
2009 8 9.6 85.142 53.5 68.3
2009 9 9.8 85.6805 54.2 68.9
2009 10 10 85.8546 55.9 69.1
2009 11 9.9 86.1649 54.3 69.5
2009 12 9.9 86.5639 55.8 70
2010 1 9.8 87.4142 56.7 70.8
2010 2 9.8 87.7686 55.8 71.3
2010 3 9.9 88.3369 59.3 71.9
2010 4 9.9 88.6987 59 72.4
2010 5 9.6 90.0893 58.8 73.7
2010 6 9.4 90.2423 56 73.9
2010 7 9.5 90.8695 55.7 74.5
2010 8 9.5 91.0646 57.4 74.8
2010 9 9.5 91.4408 56.4 75.2
2010 10 9.5 91.0978 57 74.9
2010 11 9.8 91.364 58 75.2
2010 12 9.3 92.3987 57.3 76
2011 1 9.1 92.4721 59.9 76.1
2011 2 9 92.2938 59.8 75.9
2011 3 8.9 93.0542 59.7 76.5
2011 4 9 92.6332 59.7 76.1
2011 5 9 92.9421 54.2 76.3
2011 6 9.1 93.0705 55.8 76.3
2011 7 9 93.9305 51.4 77
2011 8 9 94.1845 52.5 77.1
2011 9 9 94.38 52.5 77.2
2011 10 8.9 94.9389 51.8 77.6
2011 11 8.6 95.1217 52.2 77.7
2011 12 8.5 95.939 53.1 78.3
2012 1 8.3 96.5925 54.1 78.7
2012 2 8.3 97.0514 52.4 79
2012 3 8.2 96.4705 53.4 78.4
2012 4 8.1 97.2721 54.8 79
2012 5 8.2 97.2586 53.5 78.9
2012 6 8.2 97.2798 49.7 78.8
2012 7 8.2 97.9305 49.8 79.2
2012 8 8.1 96.9719 49.6 78.3
2012 9 7.8 97.1749 51.5 78.4
2012 10 7.9 96.8368 51.7 78
2012 11 7.8 97.8393 49.5 78.7
2012 12 7.8 98.093 50.7 78.8
