 ABT LLY MRK PFE F  GM  BP  CVX RD XOM
0.09186833 0.08576833 0.1193283 0.08251833 0.04380833 0.07785833 0.08218833 0.02302833 0.02301833 0.06959833
-0.09173167 -0.04984167 -0.03993167 -0.07801167 -0.01936167 -0.03663167 0.01666833 -0.03394167 0.001058333 0.03431833
0.07442833 0.1892983 0.1339583 0.1102683 0.003868333 0.05410833 -0.002421667 0.01695833 0.01117833 0.05320833
0.027935 0.002825 0.012375 -0.009955 0.019175 -0.014765 -0.060405 -0.024285 -0.006335 -0.029125
-0.006503333 -0.06294333 -0.08520333 -0.08614333 -0.04991333 -0.04748333 0.03254667 0.07517667 0.007276667 0.07052667
0.08737 0.06409 0.0684 0.13686 0.11666 0.04085 -0.00157 -0.02046 0.0257 0.04674
0.02858167 0.05821167 -0.009738333 0.07225167 0.07493167 -0.004208333 0.05634167 0.02615167 0.09706167 0.04939167
0.05541167 0.1712917 0.1389517 0.1560817 0.009221667 -0.03242833 0.02954167 0.05214167 0.1098517 0.02965167
-0.01982833 0.02952167 0.01106167 -0.003458333 0.08250167 0.1056617 0.09679167 0.06426167 0.02453167 0.04477167
-0.08833333 -0.07521333 -0.1204133 -0.07451333 0.04770667 0.01793667 0.02918667 -0.01672333 -0.09702333 -0.04556333
0.062615 0.152385 0.089275 0.080425 0.045295 0.062605 0.068995 0.068515 0.102145 0.042865
-0.04097167 0.1043283 -0.1110817 0.1767283 -0.02669167 -0.04522167 -0.03786167 -0.005641667 -0.05482167 -0.04512167
0.05789667 -0.06188333 0.05803667 0.02275667 -0.02002333 -0.04712333 -0.05171333 -0.03044333 -0.004283333 -0.004733333
0.00146 0.10086 0.11844 0.02061 0.12506 0.05374 -0.04421 -0.04405 0.02417 -0.00123
0.08103 -0.03293 0.10311 0.0922 0.05464 -0.0505 0.00364 -0.03342 -0.05841 -0.03484
0.05224833 -0.02808167 0.08254833 0.08064833 0.1048283 0.1942483 0.03278833 0.08585833 0.05551833 0.07748833
0.002488333 -0.09821167 0.004238333 0.1222183 0.1416683 -0.02142167 0.03662833 -0.01115167 0.04183833 0.05658833
-0.029185 0.162545 -0.064095 0.137565 0.082055 -0.009665 0.093915 0.025445 -0.009625 0.076285
0.01036333 -0.1189867 -0.03321667 -0.08157667 0.1281633 0.07004333 -0.06070667 -0.03080667 0.005123333 -0.03362667
0.10116 0.07528 0.14286 0.03282 0.1332 -0.07458 -0.00627 0.04436 -0.02754 0.00826
0.01476667 0.01095667 -0.08030333 0.006216667 -0.03091333 0.07818667 -0.09478333 -0.01756333 -0.07369333 -0.01989333
-0.07916333 -0.02341333 -0.06579333 -0.1565933 -0.2211933 -0.1933633 -0.08376333 -0.1003333 -0.2197733 -0.06675333
0.1244083 0.1872183 0.1183383 0.1347883 0.04937833 -0.05975167 0.1884683 0.1311783 0.2044583 0.07542833
0.08217 0.03102 0.03915 0.01148 0.16074 0.14818 0.01175 -0.03378 0.03213 0.01086
0.017605 0.106045 0.144865 0.041195 0.011305 0.110075 0.044495 0.029885 -0.051835 0.049165
0.01717167 -0.01271833 -0.04932833 0.1130317 0.06217167 0.02049167 -0.01858833 -0.01187833 0.01631167 -0.02865833
-0.05284667 0.05053333 -0.008696667 0.02538333 0.05108333 0.2505333 -0.1096767 -0.1053467 -0.1668067 -0.04293667
-0.00639 0.00743 0.10703 0.02376 -0.03829 -0.07821 0.04407 0.03637 0.09146 -0.05035
0.0071 -0.10555 -0.01726 0.04793 -0.04796 0.05065 0.19238 0.15077 0.18149 0.05639
0.033435 -0.136125 -0.125255 -0.174295 0.132435 0.020135 0.117095 0.120365 0.125035 0.173575
-0.06964 -0.03034 -0.04283 -0.07191 -0.1103 -0.075 -0.05146 -0.07032 -0.02462 -0.03719
0.0003416667 -0.001188333 0.08891167 0.01488167 -0.01584833 -0.04728833 0.008431667 0.02389167 0.06138167 -0.03823833
-0.05376167 -0.08669167 -0.08528167 -0.07145167 -0.1362817 -0.07765167 0.06417833 -0.04390167 0.008658333 0.02537833
0.006256667 0.1356267 -0.01040333 0.1128167 0.07080667 0.08808667 -0.03296333 0.01439667 0.02188667 -0.005063333
-0.15808 -0.14377 -0.03493 -0.05357 -0.03987 -0.0539 -0.01312 -0.04249 -0.04935 -0.04035
0.10109 0.06898 0.22353 0.10222 0.09794 0.11512 0.03825 0.02482 0.01076 -0.02954
-0.063045 0.040855 -0.015225 -0.088825 -0.083955 0.025055 0.056165 -0.027225 -0.036555 0.072605
-0.04874333 -0.07750333 -0.1467933 -0.1095033 0.05135667 0.005216667 -0.03100333 -0.02621333 0.03984667 0.01142667
-0.1030233 0.001206667 0.1685867 0.1111767 -0.06187333 0.1039067 -0.09821333 -0.03906333 -0.09525333 0.03125667
0.008815 -0.111955 -0.223495 -0.114405 -0.167945 -0.054275 -0.123465 -0.103725 -0.046625 -0.096725
0.06154833 0.04888833 0.009108333 0.1333883 0.09885833 0.08399833 0.1267283 0.2329183 0.09122833 0.03010833
0.09304333 0.2268233 0.1139933 0.1474233 0.1977333 0.1258533 -0.04696667 -0.08382667 -0.01228667 -0.007926667
0.053715 -0.014415 0.073085 0.055175 -0.117835 -0.245145 0.071555 0.088715 0.096835 0.073245
0.09049833 0.3072483 0.02205833 0.07239833 -0.08243167 -0.1826217 0.03191833 -0.08723167 -0.01875167 -0.06250167
-0.06661667 0.03508333 -0.06940667 -0.1065267 0.08951333 -0.02434667 -0.08010667 -0.07349667 -0.05877667 0.01414333
0.045975 -0.299805 -0.025615 -8.5e-05 0.033925 0.271545 0.056815 0.072775 0.054245 0.020735
0.08214 0.1063 0.0603 0.03402 0.04151 -0.10457 -0.04572 0.00388 -0.02543 0.08688
0.1092883 0.09659833 0.2031383 -0.04403167 0.03885833 -0.04932167 -0.04401167 -0.04175167 -0.01447167 -0.004391667
0.03745833 0.04601833 0.02543833 0.02298833 -0.1343317 -0.2003117 -0.06767167 -0.0002716667 0.0001183333 -0.01352167
-0.1251283 -0.01147833 0.008971667 0.03327167 0.02541167 0.02423167 0.004411667 0.02649167 0.009851667 -0.01687833
-0.07423167 -0.1575517 -0.1265317 -0.02277167 0.2112783 0.04993833 0.07142833 -0.01800167 -0.007801667 -0.03635167
0.08799333 0.007863333 -0.02815667 -0.004956667 -0.01754667 -0.001836667 -0.03416667 0.03231333 -0.03753667 -0.03567667
-0.04042333 -0.03892333 -0.05306333 -0.09368333 0.007466667 -0.03125333 -0.003283333 0.02129667 -0.05323333 -0.004303333
-0.015935 0.105565 -0.002305 0.054165 0.055805 0.053865 0.086655 0.096545 0.070545 0.090605
0.1177233 -0.003256667 -0.03776667 -0.009946667 -0.1770367 0.04423333 -0.005846667 -0.001566667 0.03494333 0.003643333
-0.07947833 -0.1292383 -0.1273083 -0.06912833 0.005301667 0.1280217 -0.06920833 -0.06068833 -0.04734833 -0.01845833
0.117905 0.068425 0.060755 0.026285 0.034545 -0.014585 -0.011555 0.006905 -0.007555 -0.046775
-0.07539 -0.02008 -0.04002 -0.07073 -0.21089 -0.13409 0.04085 -0.00269 -0.0159 -0.03585
0.04106 0.03735 0.02084 0.04452 -0.12902 -0.21864 -0.03581 -0.06832 -0.11486 -0.02088
0.02404 -0.05384 -0.04369 0.04309 -0.06808 -0.03863 -0.01868 0.04304 0.00337 -0.00053
0.03657167 0.08275167 0.06019167 0.03472167 0.1785017 0.2133517 -0.08099833 -0.03362833 -0.04451833 -0.04768833
0.01223167 -0.05136833 -0.1283483 -0.08129833 -0.1714183 -0.02353833 0.05157167 0.05270167 0.01266167 0.04939167
0.037365 -0.045175 0.005085 0.044295 -0.021735 0.050885 0.003145 -0.066215 0.018005 -0.007735
-0.02137167 0.01107833 0.03488833 -0.01536167 -0.02889167 0.04431833 0.06732833 0.01454833 0.02657833 0.06206833
-0.07134167 0.004718333 -0.05693167 -0.03128167 0.1067083 0.1395083 0.07014833 0.06754833 0.05593833 0.05976833
0.02869667 -0.1346333 -0.05770333 -0.08673333 -0.03114333 0.05977667 -0.04474333 -0.04087333 -0.03935333 -0.08493333
-0.1210017 -0.01719167 0.04934833 -0.04601167 0.1079283 -0.02482167 0.01140833 0.01285833 0.06763833 -0.001691667
-0.2087867 -0.1296967 -0.1084267 0.01014333 -0.09489667 -0.1413967 -0.01277667 0.01291333 0.003493333 0.02337333
0.10471 0.03442 -0.02194 -0.07711 -0.15327 -0.13049 -0.08241 -0.15394 -0.17455 -0.10306
-0.03468 -0.00238 0.0172 0.02523 -0.12756 0.03753 0.01589 0.02972 0.00303 -0.03073
0.007881667 -0.04803833 -0.08943833 -0.1240883 -0.1687283 -0.1885683 -0.1487983 -0.09766833 -0.1126383 -0.1014983
0.04088333 0.001573333 0.1852933 0.09344333 -0.1278467 -0.1465567 -0.03765667 -0.02470667 0.06365333 0.05385333
0.044595 0.235195 0.094295 -0.004485 0.344125 0.207995 0.029145 0.000455 0.016975 0.039675
-0.08733167 -0.07127167 -0.04206167 -0.03144167 -0.1837717 -0.07253167 0.03573833 -0.009201667 0.009798333 0.003028333
-0.042105 -0.052315 -0.022525 -0.002935 -0.010655 -0.015355 -0.041315 -0.032265 -0.049365 -0.023585
-0.066555 -0.056505 -0.048635 -0.018765 -0.087695 -0.057675 -0.013355 0.006325 -0.053975 0.001955
0.05492833 0.009488333 0.04436833 0.04399833 -0.09709167 -0.005381667 0.01165833 0.006538333 0.02627833 0.02639833
0.08586833 0.1157683 0.06112833 -0.01410167 0.3820383 0.07133833 -0.002241667 -0.02940167 0.02899833 0.006208333
0.09558833 -0.05910167 -0.04558167 0.01276833 0.01852833 -0.006991667 0.09684833 0.1396883 0.1133483 0.04029833
-0.01849667 0.1531533 0.09513333 0.1001333 0.04590333 0.01819333 0.002333333 0.01699333 0.02272333 -0.01422667
-0.09821 -0.04613 -0.08779 -0.02388 0.01472 0.03897 -0.01194 -0.002 -0.04773 -0.00994
0.02595833 0.01477833 -0.03739167 -0.09941167 0.04441833 0.1106183 0.01371833 0.01986833 0.02880833 0.06581833
0.05504667 -0.1079533 0.01252667 0.01458667 -0.06912333 -0.004923333 0.008326667 -0.02027333 -0.01571333 -0.02996333
0.006633333 0.1207833 -0.1266067 0.03939333 0.1347933 0.04174333 0.005883333 0.03912333 0.003303333 -0.001316667
0.036295 0.036975 -0.083265 0.066315 0.087435 0.013525 0.016755 0.019815 0.010945 -0.004325
0.05355 0.02149 0.14629 0.05168 0.21137 0.2475 0.15526 0.14958 0.16607 0.13185
