year mon Greg hoil oilp gasp
2009 7 2.478 1.628 64.09 3.39
2009 8 2.562 1.865 71.06 3.15
2009 9 2.48 1.728 69.46 3.01
2009 10 2.5 1.929 75.82 4.02
2009 11 2.614 1.981 78.08 3.7
2009 12 2.568 1.968 74.3 5.33
2010 1 2.678 2.046 78.22 5.81
2010 2 2.603 1.978 76.42 5.33
2010 3 2.742 2.083 81.24 4.29
2010 4 2.818 2.204 84.48 4.03
2010 5 2.795 2.04 73.84 4.15
2010 6 2.684 2.032 75.35 4.81
2010 7 2.679 1.979 76.37 4.62
2010 8 2.683 2.016 76.82 4.31
2010 9 2.678 2.09 75.31 3.9
2010 10 2.766 2.242 81.9 3.43
2010 11 2.815 2.32 84.14 3.73
2010 12 2.951 2.468 89.04 4.24
2011 1 3.058 2.604 89.42 4.49
2011 2 3.168 2.77 89.58 4.09
2011 3 3.509 3.034 102.94 3.97
2011 4 3.746 3.196 110.04 4.24
2011 5 3.849 2.952 101.33 4.3
2011 6 3.628 2.967 96.29 4.53
2011 7 3.614 3.068 97.19 4.42
2011 8 3.612 2.946 86.33 4.05
2011 9 3.573 2.921 85.61 3.89
2011 10 3.4 2.953 86.41 3.57
2011 11 3.33 3.054 97.21 3.24
2011 12 3.22 2.891 98.57 3.16
2012 1 3.33 3.054 100.24 2.67
2012 2 3.517 3.196 102.25 2.51
2012 3 3.774 3.217 106.19 2.16
2012 4 3.837 3.15 103.33 1.95
2012 5 3.643 2.913 94.7 2.43
2012 6 3.465 2.619 82.41 2.46
2012 7 3.379 2.813 87.93 2.96
2012 8 3.668 3.045 94.16 2.84
