year mon hsold hstart
1983 4 59 135.8
1983 5 64 174.9
1983 6 59 173.2
1983 7 51 161.6
1983 8 50 176.8
1983 9 48 154.9
1983 10 51 159.3
1983 11 45 136
1983 12 48 108.3
1984 1 52 109.1
1984 2 58 130
1984 3 63 137.5
1984 4 61 172.7
1984 5 59 180.7
1984 6 58 184
1984 7 52 162.1
1984 8 48 147.4
1984 9 53 148.5
1984 10 55 152.3
1984 11 42 126.2
1984 12 38 98.9
1985 1 48 105.4
1985 2 55 95.4
1985 3 67 145
1985 4 60 175.8
1985 5 65 170.2
1985 6 65 163.2
1985 7 63 160.7
1985 8 61 160.7
1985 9 54 147.7
1985 10 52 173
1985 11 51 124.1
1985 12 47 120.5
1986 1 55 115.6
1986 2 59 107.2
1986 3 89 151
1986 4 84 188.2
1986 5 75 186.6
1986 6 66 183.6
1986 7 57 172
1986 8 52 163.8
1986 9 60 154
1986 10 54 154.8
1986 11 48 115.6
1986 12 49 113
1987 1 53 105.1
1987 2 59 102.8
1987 3 73 141.2
1987 4 72 159.3
1987 5 62 158
1987 6 58 162.9
1987 7 55 152.4
1987 8 56 143.6
1987 9 52 152
1987 10 52 139.1
1987 11 43 118.8
1987 12 37 85.4
1988 1 43 78.2
1988 2 55 90.2
1988 3 68 128.8
1988 4 68 153.2
1988 5 64 140.2
1988 6 65 150.2
1988 7 57 137
1988 8 59 136.8
1988 9 54 131.1
1988 10 57 135.1
1988 11 43 113
1988 12 42 94.2
1989 1 52 100.1
1989 2 51 85.8
1989 3 58 117.8
1989 4 60 129.4
1989 5 61 131.7
1989 6 58 143.2
1989 7 62 134.7
1989 8 61 122.4
1989 9 49 109.3
1989 10 51 130.1
1989 11 47 96.6
1989 12 40 75
1990 1 45 99.2
1990 2 50 86.9
1990 3 58 108.5
1990 4 52 119
1990 5 50 121.1
1990 6 50 117.8
1990 7 46 111.2
1990 8 46 102.8
1990 9 38 93.1
1990 10 37 94.2
1990 11 34 81.4
1990 12 29 57.4
1991 1 30 52.5
1991 2 40 59.1
1991 3 51 73.8
1991 4 50 99.7
1991 5 47 97.7
1991 6 47 103.4
1991 7 43 103.5
1991 8 46 94.7
1991 9 37 86.6
1991 10 41 101.8
1991 11 39 75.6
1991 12 36 65.6
1992 1 48 71.6
1992 2 55 78.8
1992 3 56 111.6
1992 4 53 107.6
1992 5 52 115.2
1992 6 53 117.8
1992 7 52 106.2
1992 8 56 109.9
1992 9 51 106
1992 10 48 111.8
1992 11 42 84.5
1992 12 42 78.6
1993 1 44 70.5
1993 2 50 74.6
1993 3 60 95.5
1993 4 66 117.8
1993 5 58 120.9
1993 6 59 128.5
1993 7 55 115.3
1993 8 57 121.8
1993 9 57 118.5
1993 10 56 123.3
1993 11 53 102.3
1993 12 51 98.7
1994 1 46 76.2
1994 2 58 83.5
1994 3 74 134.3
1994 4 65 137.6
1994 5 65 148.8
1994 6 55 136.4
1994 7 52 127.8
1994 8 59 139.8
1994 9 54 130.1
1994 10 57 130.6
1994 11 45 113.4
1994 12 40 98.5
1995 1 47 84.5
1995 2 47 81.6
1995 3 60 103.8
1995 4 58 116.9
1995 5 63 130.5
1995 6 64 123.4
1995 7 64 129.1
1995 8 63 135.8
1995 9 54 122.4
1995 10 54 126.2
1995 11 46 107.2
1995 12 45 92.8
1996 1 54 90.7
1996 2 68 95.9
1996 3 70 116
1996 4 70 146.6
1996 5 69 143.9
1996 6 65 138
1996 7 66 137.5
1996 8 73 144.2
1996 9 62 128.7
1996 10 56 130.8
1996 11 54 111.5
1996 12 51 93.1
1997 1 61 82.2
1997 2 69 94.7
1997 3 81 120.4
1997 4 70 142.3
1997 5 71 136.3
1997 6 71 140.4
1997 7 69 134.6
1997 8 72 126.5
1997 9 67 139.2
1997 10 62 139
1997 11 61 112.4
1997 12 51 106
1998 1 64 91.2
1998 2 75 101.1
1998 3 81 132.6
1998 4 82 144.9
1998 5 82 143.3
1998 6 83 159.6
1998 7 75 156
1998 8 75 147.5
1998 9 68 141.5
1998 10 69 155.5
1998 11 70 124.2
1998 12 61 119.6
1999 1 67 106.8
1999 2 76 110.2
1999 3 84 147.3
1999 4 86 144.6
1999 5 80 153.2
1999 6 82 149.4
1999 7 78 152.6
1999 8 78 152.9
1999 9 65 140.3
1999 10 67 142.9
1999 11 61 127.4
1999 12 57 113.6
2000 1 67 104
2000 2 78 119.7
2000 3 88 133.4
2000 4 78 149.5
2000 5 77 152.9
2000 6 71 146.3
2000 7 76 135
2000 8 73 141.4
2000 9 70 128.9
2000 10 71 139.7
2000 11 63 117.1
2000 12 65 100.7
2001 1 72 106.4
2001 2 85 108.2
2001 3 94 133.2
2001 4 84 151.3
2001 5 80 154
2001 6 79 155.2
2001 7 76 154.6
2001 8 74 141.5
2001 9 66 133.1
2001 10 66 139.8
2001 11 67 121
2001 12 66 104.6
2002 1 66 110.4
2002 2 84 120.4
2002 3 90 138.2
2002 4 86 148.8
2002 5 88 165.5
2002 6 84 160.3
2002 7 82 155.9
2002 8 90 147
2002 9 82 155.6
2002 10 77 146.8
2002 11 73 133
2002 12 70 123.1
2003 1 76 117.8
2003 2 82 109.7
2003 3 98 147.2
2003 4 91 151.2
2003 5 101 165
2003 6 107 174.5
2003 7 99 175.8
2003 8 105 163.8
2003 9 90 171.3
2003 10 88 173.5
2003 11 76 153.7
2003 12 75 144.2
2004 1 89 124.5
2004 2 102 126.4
2004 3 123 173.8
2004 4 109 179.5
2004 5 115 187.6
2004 6 105 172.3
2004 7 96 182
2004 8 102 185.9
2004 9 94 164
2004 10 101 181.3
2004 11 84 138.1
2004 12 83 140.2
2005 1 92 142.9
2005 2 109 149.1
2005 3 127 156.2
2005 4 116 184.6
2005 5 120 197.9
2005 6 115 192.8
2005 7 117 187.6
2005 8 110 192
2005 9 99 187.9
2005 10 105 180.4
2005 11 86 160.7
2005 12 87 136
2006 1 89 153
2006 2 88 145.1
2006 3 108 165.9
2006 4 100 160.5
2006 5 102 190.2
2006 6 98 170.2
2006 7 83 160.9
2006 8 88 146.8
2006 9 80 150.1
2006 10 74 130.6
2006 11 71 115.2
2006 12 71 112.4
2007 1 66 95
2007 2 68 103.1
2007 3 80 123.8
2007 4 83 135.6
2007 5 79 136.5
2007 6 73 137.8
2007 7 68 127.9
2007 8 60 121.2
2007 9 53 101.5
2007 10 57 115
2007 11 45 88.8
2007 12 44 68.9
2008 1 44 70.8
2008 2 48 78.4
2008 3 49 82.2
2008 4 49 89.5
2008 5 49 91.7
2008 6 45 102.5
2008 7 43 86.7
2008 8 38 76.4
2008 9 35 73.9
2008 10 32 68.2
2008 11 27 47.5
2008 12 26 37.7
2009 1 24 31.9
2009 2 29 39.8
2009 3 31 42.7
2009 4 32 42.5
2009 5 34 52.2
2009 6 37 59.1
2009 7 38 56.8
2009 8 36 52.9
2009 9 30 52.6
2009 10 33 44.5
2009 11 26 42.3
2009 12 24 36.6
2010 1 24 38.9
2010 2 27 40.7
2010 3 36 54.7
2010 4 41 62
2010 5 26 56.2
2010 6 28 53.8
2010 7 26 51.5
2010 8 23 56.3
2010 9 25 53
2010 10 23 45.4
2010 11 20 40.6
2010 12 23 33.8
2011 1 21 40.2
2011 2 22 35.4
2011 3 28 49.9
2011 4 30 49
2011 5 28 54
2011 6 28 60.5
2011 7 27 57.6
2011 8 25 54.5
2011 9 24 58.8
2011 10 25 53.2
2011 11 23 53
2011 12 24 42.7
2012 1 23 47.2
2012 2 30 49.7
2012 3 34 58
2012 4 34 66.8
2012 5 35 67.8
2012 6 34 74.7
2012 7 34 71.7
