date TXN MU INTC TSM PFE MRK LLY JPM MS GS
20030530 0.108707 0.331765 0.134458 0.21147 0.013659 -0.044689 -0.058211 0.119591 0.022346 0.073781
20030630 -0.141463 0.027385 -0.00048 -0.005917 0.100903 0.095898 0.153923 0.04017 -0.065574 0.027607
20030731 0.073367 0.258813 0.19606 0.071429 -0.023133 -0.087036 -0.045382 0.035401 0.115088 0.043463
20030829 0.263911 -0.019126 0.149458 0.178 -0.098621 -0.036605 0.015568 -0.02368 0.028457 0.015492
20030930 -0.044025 -0.06546 -0.037426 -0.080645 0.015374 0.013315 -0.10717 0.003215 0.034228 -0.05187
20031031 0.269353 0.068554 0.197311 0.021237 0.040158 -0.12584 0.121549 0.055636 0.091954 0.122169
20031128 0.029046 -0.092748 0.018513 -0.017179 0.067089 -0.082486 0.037751 -0.013928 0.007472 0.023216
20031231 -0.012769 0.035357 -0.044425 -0.057958 0.052428 0.147044 0.022238 0.037571 0.046852 0.027581
20040130 0.067776 0.195991 -0.047738 0.091797 0.036796 0.030303 -0.032561 0.068064 0.010195 0.010838
20040227 -0.022329 -0.066418 -0.04194 -0.070662 0.005187 0.010084 0.091931 0.05477 0.026628 0.063486
20040331 -0.046656 0.111037 -0.068493 0.004812 -0.043656 -0.073211 -0.095212 0.022672 -0.041165 -0.014357
20040430 -0.140272 -0.184919 -0.054044 -0.087165 0.020257 0.063589 0.103288 -0.09559 -0.098778 -0.070436
20040528 0.040239 0.103524 0.111154 0.065058 -0.006991 0.006383 0.002913 -0.020213 0.041253 -0.029354
20040630 -0.073918 0.018629 -0.033275 -0.057096 -0.029994 0.012051 -0.051038 0.052389 -0.013829 0.002662
20040730 -0.116987 -0.116264 -0.116667 -0.143201 -0.067678 -0.045263 -0.088542 -0.028372 -0.060451 -0.060748
20040831 -0.083919 -0.149298 -0.125102 0.060393 0.027534 -0.008379 0.001334 0.060273 0.02838 0.016555
20040930 0.089048 0.045178 -0.057774 -0.054305 -0.063361 -0.257727 -0.053586 0.00379 -0.028188 0.040045
20041029 0.150141 0.012469 0.109671 0.060224 -0.053922 -0.051212 -0.085595 -0.019884 0.041379 0.057808
20041130 -0.011043 -0.090312 0.007188 0.05284 -0.034888 -0.105078 -0.022309 -0.024611 -0.006655 0.064851
20041231 0.018197 0.114621 0.04513 0.065245 -0.031689 0.1606 0.064129 0.036122 0.09399 -0.006873
20050131 -0.056255 -0.157085 -0.040188 0.030624 -0.101525 -0.127256 -0.044229 -0.03435 0.012788 0.039023
20050228 0.140457 0.104707 0.07216 0.042286 0.096027 0.130125 0.039454 -0.020895 0.009114 0.008809
20050331 -0.037023 -0.10087 -0.03168 -0.070175 -0.000761 0.033123 -0.069643 -0.053352 0.013813 0.010937
20050429 -0.019812 -0.060928 0.012484 0.01533 0.03426 0.047266 0.122265 0.035549 -0.076157 -0.026821
20050531 0.107372 0.130793 0.14966 0.069686 0.033861 -0.043068 0.003592 0.007326 -0.069555 -0.086993
20050630 0.015557 -0.070127 -0.034866 0.074344 -0.01147 -0.038841 -0.044425 -0.012028 0.071691 0.046359
20050729 0.132348 0.163565 0.043044 -0.058114 -0.039159 0.008442 0.01095 0.00453 0.0162 0.055969
20050831 0.028967 0.002525 -0.049374 -0.041909 -0.031321 -0.07888 -0.016335 -0.035572 -0.041093 0.034425
20050930 0.037332 0.116709 -0.041602 -0.001215 -0.020016 -0.036132 -0.027263 0.00118 0.06035 0.093542
20051031 -0.156932 -0.023308 -0.046653 -0.017032 -0.129355 0.037119 -0.069694 0.089301 0.013719 0.041454
20051130 0.137653 0.097768 0.138723 0.185644 -0.016099 0.05528 0.021892 0.044511 0.029774 0.020495
20051230 -0.012623 -0.06662 -0.064468 0.034447 0.1 0.081973 0.120594 0.037647 0.012672 -0.009693
20060131 -0.087621 0.10293 -0.148438 0.089808 0.101201 0.084565 0.00053 0.010078 0.087769 0.107979
20060228 0.021211 0.05654 -0.026111 -0.099074 0.029206 0.010435 -0.010597 0.034969 -0.029129 0.000283
20060331 0.087772 -0.050935 -0.05534 0.033916 -0.048492 0.021515 -0.005753 0.012154 0.052967 0.110907
20060428 0.069911 0.152853 0.026722 0.041749 0.016453 -0.022992 -0.043038 0.097983 0.027857 0.023445
20060531 -0.100259 -0.02416 -0.093093 -0.096374 -0.056455 -0.02179 -0.016629 -0.060379 -0.072784 -0.058269
20060630 -0.030099 -0.09058 0.054384 0.038934 -0.00803 0.094323 0.070294 -0.015009 0.060215 -0.003445
20060731 -0.015847 0.035193 -0.052632 -0.055556 0.107371 0.105408 0.027139 0.094286 0.05632 0.017749
20060831 0.094359 0.108403 0.092778 0.073818 0.069642 0.016389 -0.007751 0.000877 -0.010677 -0.026841
20060929 0.020252 0.006944 0.051099 0.031149 0.029028 0.033292 0.019131 0.028471 0.108223 0.138042
20061031 -0.091128 -0.16954 0.037433 0.010417 -0.060296 0.084009 -0.017368 0.017462 0.051982 0.123958
20061130 -0.020875 0.010381 0.007263 0.108247 0.040525 -0.020035 -0.036065 -0.024452 -0.003533 0.026398
20061229 -0.025381 -0.043836 -0.053517 0.016744 -0.057839 -0.011907 -0.027804 0.043647 0.069196 0.023357
20070131 0.084375 -0.07235 0.035062 -0.00183 0.013127 0.026376 0.038772 0.061491 0.020017 0.066015
20070228 -0.007374 -0.08417 -0.047113 0.017415 -0.037729 -0.013408 -0.020418 -0.030238 -0.09506 -0.049067
20070330 -0.027778 0.01855 -0.036757 -0.031532 0.012019 0.00906 0.021297 -0.020449 0.051255 0.024188
20070430 0.144518 -0.050497 0.123889 -0.019535 0.047506 0.164591 0.100912 0.083919 0.070086 0.059672
20070531 0.028804 0.061901 0.036856 0.035104 0.049887 0.019635 -0.001438 -0.005182 0.01226 0.055853
20070629 0.064197 0.028736 0.070334 0.066404 -0.069844 -0.043279 -0.046742 -0.065213 -0.013641 -0.060957
20070731 -0.062716 -0.052674 -0.005051 -0.08805 -0.080563 -0.003012 -0.032033 -0.083798 -0.087935 -0.129458
20070831 -0.026996 -0.035383 0.094941 -0.02266 0.068907 0.010473 0.068127 0.011588 -0.023485 -0.065467
20070928 0.068633 -0.030568 0.004272 0.020161 -0.016506 0.037871 -0.007323 0.0292 0.010101 0.231407
20071031 -0.106313 -0.053153 0.040217 0.052372 0.007368 0.127104 -0.048832 0.034046 0.071905 0.145474
20071130 -0.031595 -0.208373 -0.026301 -0.068545 -0.022755 0.018881 -0.014312 -0.029362 -0.216176 -0.085834
20071231 0.057966 -0.128606 0.022239 0.004032 -0.04335 -0.014656 0.00831 -0.043183 0.007398 -0.051138
20080131 -0.070359 -0.035862 -0.208552 -0.071285 0.027717 -0.206677 -0.03746 0.094616 -0.065901 -0.070449
20080229 -0.031987 0.075823 -0.047517 0.052973 -0.032534 -0.039046 -0.017513 -0.142405 -0.146332 -0.149937
20080331 -0.056409 -0.206117 0.060596 0.054415 -0.060592 -0.134763 0.031387 0.056581 0.084995 -0.024996
20080430 0.035019 0.293132 0.050991 0.09445 -0.039178 0.002372 -0.066873 0.118277 0.069365 0.159199
20080530 0.113855 0.045337 0.047619 0.018683 -0.021382 0.024185 0.009763 -0.097587 -0.089918 -0.078173
20080630 -0.133005 -0.256506 -0.073339 -0.047162 -0.097624 -0.022844 -0.04113 -0.202093 -0.18449 -0.00856
20080731 -0.130682 -0.195 0.033054 -0.080028 0.068689 -0.127089 0.020581 0.195278 0.102024 0.05426
20080829 0.005332 -0.122153 0.036954 0.022105 0.040707 0.084194 0.000212 -0.05267 0.034195 -0.109052
20080930 -0.122807 -0.044811 -0.181023 -0.035015 -0.03506 -0.10457 -0.056163 0.213302 -0.436689 -0.219369
20081031 -0.085116 0.162963 -0.1441 -0.118463 -0.039588 -0.019328 -0.231887 -0.108565 -0.228696 -0.274609
20081128 -0.203988 -0.418259 -0.130435 -0.134383 -0.054207 -0.136672 0.023655 -0.232485 -0.155695 -0.146054
20081231 -0.003211 -0.036496 0.062319 0.104895 0.077906 0.151946 0.179209 -0.004106 0.087458 0.068363
20090130 -0.029639 0.409091 -0.120055 -0.04557 -0.176736 -0.060855 -0.085672 -0.178877 0.278055 -0.04337
20090227 -0.040134 -0.134409 -0.00155 0 -0.133745 -0.152364 -0.188756 -0.104273 -0.034108 0.133986
20090331 0.150523 0.26087 0.179749 0.187003 0.106417 0.121074 0.137168 0.163238 0.165302 0.164032
20090430 0.100545 0.20197 0.0499 0.181006 -0.01909 -0.093832 -0.014666 0.243416 0.041136 0.212036
20090529 0.074197 0.036885 0.00507 0.035005 0.148952 0.137789 0.065006 0.118182 0.282572 0.127782
20090630 0.097938 0 0.052799 -0.139854 -0.012508 0.027556 0.002025 -0.07561 -0.059697 0.019852
20090731 0.134272 0.262846 0.163142 0.166637 0.062 0.073319 0.007217 0.134565 0.001403 0.107569
20090831 0.022453 0.153365 0.062857 0.021967 0.05838 0.08064 -0.026942 0.12445 0.01614 0.015371
20090930 -0.0366 0.112619 -0.036909 0.024299 -0.008982 -0.012951 -0.012851 0.008283 0.066298 0.114167
20091030 -0.005065 -0.171951 -0.023505 -0.129562 0.029003 -0.022131 0.02967 -0.045641 0.041775 -0.076919
20091130 0.078465 0.107511 0.012036 0.089099 0.076336 0.170708 0.094384 0.017237 -0.016812 -0.00094
20091231 0.030447 0.404255 0.0625 0.101059 0.001101 0.019608 -0.02777 -0.019299 -0.062698 -0.004833
20100129 -0.132003 -0.174242 -0.04902 -0.111888 0.025838 0.044882 -0.014282 -0.064315 -0.093581 -0.119166
20100226 0.083556 0.038991 0.066366 -0.040354 -0.049839 -0.034049 -0.010511 0.077812 0.052278 0.053658
20100331 0.003692 0.144592 0.085728 0.075897 -0.022792 0.023048 0.054747 0.066238 0.03939 0.091334
20100430 0.067838 -0.098361 0.024675 0.009533 -0.025073 -0.061847 -0.034511 -0.047374 0.033458 -0.149036
20100528 -0.06113 -0.027808 -0.055276 -0.07932 -0.078349 -0.038527 -0.048327 -0.070456 -0.102912 -0.004063
20100630 -0.046683 -0.066007 -0.09197 0.001026 -0.06369 0.049273 0.021653 -0.075038 -0.143858 -0.090046
20100730 0.065722 -0.142521 0.059126 0.082575 0.051893 -0.014584 0.062687 0.101612 0.165015 0.14893
20100831 -0.067639 -0.112843 -0.13483 -0.069307 0.072667 0.020313 -0.042697 -0.097319 -0.085217 -0.089776
20100930 0.178975 0.116358 0.086895 0.078723 0.079195 0.057736 0.087526 0.046755 -0.000405 0.055868
20101029 0.094326 0.144938 0.044271 0.075937 0.014269 -0.013583 -0.036408 -0.009984 0.009724 0.11447
20101130 0.075414 -0.119443 0.063092 -0.014665 -0.053689 -0.050675 -0.02983 -0.006112 -0.016486 -0.028797
20101231 0.022013 0.103316 -0.006026 0.166512 0.074233 0.056571 0.040998 0.134225 0.112428 0.076982
20110131 0.047385 0.314214 0.020447 0.042265 0.040548 -0.079634 -0.007705 0.060585 0.082323 -0.026998
20110228 0.050133 0.055977 0.00891 -0.059679 0.066959 -0.018089 0.008053 0.038941 0.009524 0.003117
20110331 -0.029486 0.030548 -0.060084 -0.00895 0.055613 0.025177 0.01765 -0.012637 -0.079515 -0.031628
20110429 0.031829 -0.013078 0.147175 0.108374 0.032496 0.089064 0.052317 -0.004772 -0.040996 -0.047856
20110531 -0.006473 -0.09894 -0.019819 0.011852 0.032427 0.022253 0.052959 -0.052378 -0.076099 -0.065757
20110630 -0.069972 -0.266667 -0.015549 -0.038844 -0.039627 -0.029388 -0.024688 -0.053192 -0.047599 -0.054288
20110729 -0.089857 -0.014706 0.007671 -0.019826 -0.065583 -0.03287 0.020517 -0.005862 -0.030856 0.014126
20110831 -0.118992 -0.1981 -0.089118 -0.031553 -0.003585 -0.030325 -0.007833 -0.071446 -0.213483 -0.136327
20110930 0.016788 -0.147208 0.059861 -0.045113 -0.068493 -0.000453 -0.014396 -0.198083 -0.228 -0.186457
20111031 0.159475 0.109127 0.150223 0.104112 0.089367 0.055046 0.005139 0.162351 0.3094 0.158646
20111130 -0.020501 0.071556 0.023635 0.023772 0.05244 0.036232 0.031755 -0.109033 -0.161565 -0.121771
20111230 -0.03289 0.050084 -0.026495 -0.000774 0.078226 0.066294 0.098019 0.07362 0.022989 -0.056645
