year mon PI II NOI   SDI
1994 1 59.7 43.9 63.5 54.4
1994 2 60.2 44.6 62.2 57
1994 3 63.4 43 62.8 55.4
1994 4 61.4 45.9 62.7 57.2
1994 5 62.7 47.6 61.6 60.2
1994 6 62 48.3 65 60.3
1994 7 62.3 45.1 64.2 58.1
1994 8 60.2 44.9 63 61.6
1994 9 62.8 46.1 62.7 62.5
1994 10 63.3 47.6 63 64.9
1994 11 63.9 47.3 61.5 64.7
1994 12 59.5 45 58.9 64.8
1995 1 60.9 45.2 59.7 62.7
1995 2 57.4 47 56.6 60.7
1995 3 54.8 47 51.9 56.9
1995 4 54.1 44.2 52.2 56.3
1995 5 49.9 43.3 44 53.3
1995 6 46.1 43 43.5 51.8
1995 7 51.6 46.5 52.7 51.3
1995 8 49.1 45.5 46.5 49.1
1995 9 50.5 40.3 49.4 50
1995 10 47 42.2 47.5 48.4
1995 11 45 43.3 48.6 45.3
1995 12 46.9 43.1 45.9 47.5
1996 1 45.6 46.6 44.1 47.8
1996 2 45.7 43.3 46.1 49.5
1996 3 47.3 40 49.1 49.6
1996 4 51.6 43.9 52.3 49.4
1996 5 53 39.2 51.7 49.9
1996 6 55.5 43.1 59.4 52.8
1996 7 52.4 40.8 51.9 50.8
1996 8 55.1 42.2 54.6 51.9
1996 9 53.5 43.7 54.6 50
1996 10 55.4 39.6 52.9 50.9
1996 11 58.1 42.3 56.9 51.2
1996 12 58.9 44.4 61.7 52
1997 1 59.8 43.2 57 49.7
1997 2 58.9 41.3 57.6 52.1
1997 3 55 43.5 58.6 53.1
1997 4 56.8 41.4 56.6 53.4
1997 5 56.7 48.1 62.3 55
1997 6 56.5 45.2 59.4 54.6
1997 7 64.5 45.9 61.3 54.7
1997 8 61.5 43 60.3 55.2
1997 9 56.6 47.2 55.4 54.8
1997 10 59.4 45 60.9 54.9
1997 11 60.1 43.8 57.4 55.2
1997 12 56.7 46.2 57.2 53.9
1998 1 55.6 46.2 57.1 53
1998 2 54.6 46.2 54.6 52.8
1998 3 54.5 46 54.9 53
1998 4 53.3 46.1 55.3 52.4
1998 5 53.2 46 51.5 51.5
1998 6 50.6 42 50.2 50.9
1998 7 50.8 44.1 51.8 50.2
1998 8 50.7 44.8 50.9 50.3
1998 9 51.2 43.2 49.4 50.8
1998 10 52.4 47.1 48 49.8
1998 11 50.4 44.5 48.3 50.4
1998 12 47.7 42.7 49.7 48.5
1999 1 55.6 42.7 52.4 51
1999 2 56 43.5 55 50.8
1999 3 55.7 43.7 55.9 52.3
1999 4 57.2 46.8 54 49.5
1999 5 58.5 43.6 57.8 52.1
1999 6 61.6 44.7 59.4 52.6
1999 7 58.1 44.9 54.6 54
1999 8 58.3 46.2 57.5 51.4
1999 9 59.9 43.8 63.5 55.8
1999 10 59.7 48 61.3 56.2
1999 11 60.2 49.7 63.1 56.8
1999 12 60.6 49 60.3 56.7
2000 1 57.8 52.8 60.4 55
2000 2 59.1 44.9 58.7 54.4
2000 3 59.5 47.5 56.2 54.3
2000 4 58.1 46.1 55.4 55.4
2000 5 56.4 46.9 51.5 55.4
2000 6 53.4 47 50 54.5
2000 7 53.7 48.5 52 53.9
2000 8 49.7 47.1 50 53.5
2000 9 51.5 45.9 48.9 49.6
2000 10 49.3 45.9 48.4 51.1
2000 11 50.1 42.8 49.1 50.3
2000 12 42.9 40.4 42.1 52.8
2001 1 39.2 41.8 38.4 49.8
2001 2 38.6 44.2 39.9 50.2
2001 3 42.6 43.7 41.5 47.7
2001 4 43.1 39.7 45.5 47.2
2001 5 43.1 38.2 44.9 45.4
2001 6 45.3 39.9 47.8 47.1
2001 7 47 37.1 49.2 46.8
2001 8 51.8 37.6 54.3 46.7
2001 9 51.8 38.9 51.3 47.5
2001 10 41.8 38.3 38.9 49.5
2001 11 46.9 38.9 49.1 49.1
2001 12 49.2 37.6 51.4 49.3
2002 1 51.1 39.2 55.2 51.2
2002 2 58.1 39.7 60.7 51.4
2002 3 58.3 41.4 63.8 51.9
2002 4 59.1 43 59.9 53.5
2002 5 59.4 43.8 61.8 53.4
2002 6 61.1 43.2 61.2 54.4
2002 7 56.6 42.7 51.9 54.8
2002 8 54.9 45.4 50.6 53.6
2002 9 53.5 43.8 52.9 56.7
2002 10 51.3 42 52.1 53.4
2002 11 52.7 43.1 49.9 52.1
2002 12 53.9 45.2 58.7 52.9
2003 1 54.1 44.2 58.2 52.8
2003 2 53.6 43 51.9 52.8
2003 3 47 42.3 47.2 52.6
2003 4 48.5 43.1 47.2 49.9
2003 5 52.9 45.7 53.4 50.6
2003 6 54.1 42 53.6 49.8
2003 7 53.9 46.3 56.8 51.5
2003 8 61.8 43.1 61.1 53
2003 9 57.8 43.4 60.8 53.4
2003 10 62.8 45.6 64.4 54.6
2003 11 66.6 49.7 69.1 56.4
2003 12 70 45.9 71.3 59.3
2004 1 69.3 47.9 70.6 61.5
2004 2 65.6 49 66.5 62.9
2004 3 66.8 48 64.6 66.7
2004 4 66.6 45.2 67.1 66.7
2004 5 65.3 48.8 64.5 68.3
2004 6 63.7 51.3 60.9 67.1
2004 7 63.8 50.8 62.8 64.5
2004 8 59.3 52.1 62.1 62.8
2004 9 59.8 51.6 57.7 59.8
2004 10 59.3 49.3 58.4 59.2
2004 11 57.3 49.7 60.1 56.8
2004 12 57.9 52.8 66.3 55.3
2005 1 59.3 53.5 57.9 54.7
2005 2 58.2 51 55.9 56.5
2005 3 57.5 55 57.7 53.5
2005 4 54.2 48.5 53.4 51.8
2005 5 54.7 48.5 51.8 49.8
2005 6 55.1 48 55.7 52
2005 7 57.4 45.5 57.2 50.8
2005 8 55.6 47 57.8 49.9
2005 9 62.4 49.5 60.9 57.7
2005 10 62.1 46.5 61.4 61.8
2005 11 62.4 47 61.2 57
2005 12 60.3 46.5 60.1 54.9
2006 1 59.7 47.5 58.9 55.7
2006 2 57.9 52 61 54.4
2006 3 57 50 57 53.9
2006 4 57.1 51.5 55.7 57.4
2006 5 56 48.5 54.9 56.1
2006 6 53.4 47.5 55 54
2006 7 56.9 48 55.8 53.5
2006 8 55.2 51 55.3 54.2
2006 9 56.2 47 54.8 52.9
2006 10 54.3 47.5 54.1 51.3
2006 11 50.7 47.5 50.8 53.1
2006 12 52.7 47.5 51.4 55.7
2007 1 51.2 40.5 52.2 53.1
2007 2 53.8 47 55.1 52.8
2007 3 53.1 49 50.2 51.2
2007 4 56.2 47 57.4 50.3
2007 5 56.2 46 58.6 49.3
2007 6 59.5 45 57.7 48.9
2007 7 57 46.5 58.6 50
2007 8 54.3 46.5 54.4 49.2
2007 9 56.3 41.5 54.4 50.7
2007 10 51.3 45.5 56.4 51.6
2007 11 53.7 45.5 52.4 52.4
2007 12 49.2 44.5 46.5 56
2008 1 53.7 49 48 53.8
2008 2 47.4 47 46.4 51.6
2008 3 48.3 46.5 45.6 52.7
2008 4 48.3 49 46.5 53.8
2008 5 49.4 48 48.5 52.2
2008 6 50.7 50 49.7 53.9
2008 7 54.6 44 47 53.3
2008 8 50.4 50.5 46.7 49.3
2008 9 45.4 43 41.8 51.6
2008 10 33.6 43.5 33.2 50.3
2008 11 32.4 38.5 27.6 49.7
2008 12 26.3 38 23.2 48.1
2009 1 30.1 38 31.4 46
2009 2 35 38 32.9 46.7
2009 3 36.1 33 40 42.4
2009 4 39.4 34.5 46.8 44.7
2009 5 43.9 33 50.1 48.9
2009 6 55.1 31 51.3 50
2009 7 59.5 32.5 56.9 51.3
2009 8 63.2 36 65.3 55.7
2009 9 59.8 41.5 64 58
2009 10 63.2 46.5 59.5 58.1
2009 11 62.7 39.5 60.7 57.5
2009 12 61.2 41.5 64.6 59.6
2010 1 63 46 60.6 60.3
2010 2 57.2 49 57.5 60.8
2010 3 62.1 56.5 61.4 61.2
2010 4 64.1 50.5 64.5 59.4
2010 5 64.3 46 66.1 59.3
2010 6 61.2 46 59.3 56.7
2010 7 57.9 49 54.9 58.1
2010 8 61.2 53 55.6 56.4
2010 9 59.3 56 54.5 53.8
2010 10 62 53 58.7 53.1
2010 11 59.2 54 57.8 59.5
2010 12 60.8 50 59 58.6
2011 1 63.5 52 63.8 59.3
2011 2 64.4 50.5 62.7 60.1
2011 3 65.9 49 61.9 59.8
2011 4 60.8 54.5 62.7 59.7
2011 5 54.6 48.5 55 54.4
2011 6 55.9 53.5 53.6 55.2
2011 7 52.5 48 50.8 50.6
2011 8 51.5 54.5 51.8 51.2
2011 9 52.5 52 51.1 51.6
2011 10 52.7 46.5 53.4 52.2
2011 11 55.7 46.5 55 51.3
2011 12 58.9 45.5 54.8 51.5
2012 1 55.7 49.5 57.6 53.6
2012 2 55.3 49.5 54.9 49
2012 3 58.3 50 54.5 48
2012 4 61 48.5 58.2 49.2
2012 5 55.6 46 60.1 48.7
2012 6 51 44 47.8 48.9
2012 7 51.3 49 48 48.7
2012 8 47.2 53 47.1 49.3
2012 9 49.5 50.5 52.3 50.3
2012 10 52.4 50 54.2 49.6
2012 11 53.7 45 50.3 50.3
2012 12 52.6 43 50.3 54.7
